(3, 6)
(5, 4)
(7, 5)
(9, 4)
(11, 4)
(13, 4)
(15, 5)
(17, 5)
(19, 5)
(21, 4)
(23, 4)
(25, 4)
(27, 4)
(29, 5)
(31, 5)
(33, 6)
(35, 6)
(37, 9)
(39, 8)
(41, 9)
(43, 9)
(45, 9)
(47, 12)
(49, 11)
(51, 10)
(53, 10)
(55, 8)
(57, 11)
(59, 35)
(61, 34)
-
(2, 4)
(4, 4)
(6, 5)
(8, 3)
(10, 4)
(12, 5)
(14, 4)
(16, 4)
(18, 5)
(20, 5)
(22, 5)
(24, 5)
(26, 5)
(28, 5)
(30, 7)
(32, 7)
(34, 6)
(36, 6)
(38, 7)
(40, 7)
(42, 10)
(44, 11)
(46, 14)
(48, 20)
(50, 32)
-
(3, 5)
(5, 4)
(7, 4)
(9, 4)
(11, 5)
(13, 5)
(15, 5)
(17, 4)
(19, 5)
(21, 4)
(23, 5)
(25, 4)
(27, 5)
(29, 5)
(31, 5)
(33, 5)
(35, 7)
(37, 6)
(39, 7)
(41, 8)
(43, 7)
(45, 9)
(47, 10)
(49, 11)
(51, 15)
(53, 113)
-
(2, 4)
(4, 5)
(6, 4)
(8, 5)
(10, 5)
(12, 5)
(14, 4)
(16, 6)
(18, 4)
(20, 4)
(22, 4)
(24, 5)
(26, 4)
(28, 6)
(30, 5)
(32, 5)
(34, 6)
(36, 6)
(38, 7)
(40, 6)
(42, 7)
(44, 7)
(46, 8)
(48, 9)
(50, 9)
(52, 10)
+
(3, 4)
(5, 5)
(7, 5)
(9, 5)
(11, 5)
(13, 5)
(15, 4)
(17, 4)
(19, 4)
(21, 6)
(23, 4)
(25, 4)
(27, 5)
(29, 5)
(31, 5)
(33, 6)
(35, 6)
(37, 6)
(39, 8)
(41, 7)
(43, 7)
(45, 7)
(47, 8)
(49, 8)
(51, 8)
(53, 8)
(55, 10)
(57, 42)
(59, 79)
+
(2, 4)
(4, 4)
(6, 6)
(8, 4)
(10, 4)
(12, 5)
(14, 5)
(16, 4)
(18, 5)
(20, 5)
(22, 4)
(24, 4)
(26, 4)
(28, 5)
(30, 6)
(32, 7)
(34, 7)
(36, 8)
(38, 7)
(40, 6)
(42, 6)
(44, 9)
(46, 8)
(48, 8)
(50, 9)
(52, 10)
(54, 12)
(56, 14)
(58, 35)
(60, 34)
(62, 46)
(64, 113)
(66, 113)
(68, 113)
(70, 113)
(72, 113)
-
(3, 4)
(5, 5)
(7, 4)
(9, 5)
(11, 4)
(13, 5)
(15, 4)
(17, 5)
(19, 5)
(21, 4)
(23, 4)
(25, 4)
(27, 4)
(29, 6)
(31, 5)
(33, 6)
(35, 6)
(37, 8)
(39, 8)
(41, 8)
(43, 7)
(45, 8)
(47, 10)
(49, 9)
(51, 8)
(53, 16)
(55, 13)
+
(2, 4)
(4, 5)
(6, 4)
(8, 4)
(10, 4)
(12, 4)
(14, 4)
(16, 5)
(18, 4)
(20, 4)
(22, 4)
(24, 4)
(26, 5)
(28, 5)
(30, 7)
(32, 6)
(34, 6)
(36, 6)
(38, 7)
(40, 7)
(42, 8)
(44, 8)
(46, 9)
(48, 10)
(50, 10)
(52, 11)
(54, 11)
(56, 12)
(58, 21)
(60, 38)
(62, 51)
+
(3, 4)
(5, 4)
(7, 5)
(9, 4)
(11, 4)
(13, 5)
(15, 5)
(17, 4)
(19, 4)
(21, 4)
(23, 5)
(25, 6)
(27, 6)
(29, 6)
(31, 6)
(33, 8)
(35, 8)
(37, 8)
(39, 7)
(41, 7)
(43, 8)
(45, 8)
(47, 8)
(49, 10)
(51, 14)
(53, 94)
(55, 113)
(57, 113)
(59, 113)
+
(2, 5)
(4, 5)
(6, 5)
(8, 5)
(10, 4)
(12, 4)
(14, 4)
(16, 4)
(18, 5)
(20, 5)
(22, 4)
(24, 4)
(26, 5)
(28, 5)
(30, 5)
(32, 5)
(34, 6)
(36, 6)
(38, 7)
(40, 9)
(42, 7)
(44, 8)
(46, 10)
(48, 11)
(50, 13)
(52, 11)
(54, 12)
(56, 49)
(58, 47)
(60, 113)
(62, 113)
(64, 113)
(66, 45)
(68, 113)
+
(2, 4)
(4, 4)
(6, 4)
(8, 4)
(10, 4)
(12, 4)
(14, 4)
(16, 5)
(18, 5)
(20, 5)
(22, 5)
(24, 4)
(26, 6)
(28, 6)
(30, 7)
(32, 7)
(34, 8)
(36, 7)
(38, 7)
(40, 7)
(42, 7)
(44, 7)
(46, 8)
(48, 11)
(50, 9)
+
(3, 4)
(5, 5)
(7, 5)
(9, 4)
(11, 4)
(13, 4)
(15, 5)
(17, 4)
(19, 5)
(21, 4)
(23, 4)
(25, 5)
(27, 5)
(29, 5)
(31, 5)
(33, 6)
(35, 6)
(37, 6)
(39, 6)
(41, 7)
(43, 7)
(45, 8)
(47, 7)
(49, 10)
(51, 11)
(53, 17)
(55, 15)
(57, 51)
(59, 61)
(61, 113)
(63, 113)
(65, 113)
(67, 113)
(69, 113)
-
(2, 5)
(4, 4)
(6, 4)
(8, 5)
(10, 4)
(12, 4)
(14, 5)
(16, 5)
(18, 5)
(20, 4)
(22, 4)
(24, 5)
(26, 5)
(28, 5)
(30, 6)
(32, 6)
(34, 6)
(36, 7)
(38, 7)
(40, 10)
(42, 8)
(44, 10)
(46, 10)
(48, 10)
(50, 39)
(52, 113)
(54, 113)
(56, 113)
(58, 113)
+
(3, 5)
(5, 5)
(7, 4)
(9, 4)
(11, 6)
(13, 5)
(15, 4)
(17, 4)
(19, 4)
(21, 4)
(23, 4)
(25, 6)
(27, 6)
(29, 6)
(31, 5)
(33, 6)
(35, 5)
(37, 5)
(39, 7)
(41, 6)
(43, 7)
(45, 7)
(47, 6)
(49, 7)
(51, 8)
(53, 11)
-
(2, 4)
(4, 4)
(6, 4)
(8, 4)
(10, 5)
(12, 4)
(14, 4)
(16, 4)
(18, 4)
(20, 4)
(22, 5)
(24, 5)
(26, 6)
(28, 6)
(30, 6)
(32, 8)
(34, 6)
(36, 6)
(38, 8)
(40, 7)
(42, 8)
(44, 8)
(46, 14)
(48, 13)
(50, 11)
(52, 11)
(54, 14)
(56, 12)
(58, 9)
(60, 20)
(62, 113)
(64, 113)
-
(3, 4)
(5, 4)
(7, 4)
(9, 4)
(11, 4)
(13, 4)
(15, 4)
(17, 4)
(19, 4)
(21, 5)
(23, 5)
(25, 7)
(27, 6)
(29, 6)
(31, 6)
(33, 7)
(35, 7)
(37, 7)
(39, 8)
(41, 8)
(43, 6)
(45, 10)
(47, 9)
(49, 8)
(51, 8)
(53, 10)
(55, 11)
(57, 13)
(59, 14)
(61, 21)
(63, 72)
(65, 55)
(67, 113)
+
(2, 4)
(4, 4)
(6, 5)
(8, 5)
(10, 5)
(12, 5)
(14, 4)
(16, 5)
(18, 4)
(20, 5)
(22, 7)
(24, 5)
(26, 5)
(28, 5)
(30, 5)
(32, 5)
(34, 6)
(36, 5)
(38, 6)
(40, 7)
(42, 6)
(44, 7)
(46, 8)
(48, 11)
(50, 10)
(52, 9)
(54, 11)
(56, 16)
(58, 24)
(60, 78)
(62, 42)
(64, 74)
+
(3, 4)
(5, 4)
(7, 4)
(9, 4)
(11, 4)
(13, 4)
(15, 5)
(17, 4)
(19, 5)
(21, 4)
(23, 5)
(25, 5)
(27, 6)
(29, 8)
(31, 10)
(33, 8)
(35, 10)
(37, 9)
(39, 7)
(41, 7)
(43, 8)
(45, 9)
(47, 9)
(49, 10)
(51, 12)
(53, 11)
(55, 10)
(57, 16)
(59, 17)
(61, 64)
(63, 74)
(65, 75)
(67, 113)
(69, 113)
(71, 113)
+
(2, 4)
(4, 5)
(6, 4)
(8, 4)
(10, 4)
(12, 5)
(14, 5)
(16, 5)
(18, 4)
(20, 4)
(22, 4)
(24, 5)
(26, 6)
(28, 5)
(30, 6)
(32, 5)
(34, 5)
(36, 6)
(38, 6)
(40, 10)
(42, 10)
(44, 12)
(46, 9)
(48, 10)
(50, 13)
(52, 14)
(54, 16)
(56, 34)
(58, 25)
-
(3, 5)
(5, 5)
(7, 4)
(9, 4)
(11, 4)
(13, 4)
(15, 4)
(17, 4)
(19, 4)
(21, 4)
(23, 5)
(25, 6)
(27, 5)
(29, 5)
(31, 6)
(33, 6)
(35, 7)
(37, 8)
(39, 9)
(41, 10)
(43, 9)
(45, 11)
(47, 11)
(49, 8)
(51, 10)
(53, 12)
(55, 23)
(57, 103)
(59, 79)
(61, 113)
(63, 113)
+
