(2, 5)
(4, 4)
(6, 6)
(8, 5)
(10, 4)
(12, 5)
(14, 5)
(16, 4)
(18, 4)
(20, 5)
(22, 4)
(24, 5)
(26, 4)
(28, 5)
(30, 5)
(32, 7)
(34, 6)
(36, 6)
(38, 7)
(40, 7)
(42, 9)
(44, 8)
(46, 8)
(48, 10)
(50, 12)
(52, 14)
(54, 16)
(56, 25)
(58, 98)
(60, 113)
-
(3, 5)
(5, 4)
(7, 4)
(9, 5)
(11, 4)
(13, 4)
(15, 4)
(17, 4)
(19, 5)
(21, 5)
(23, 5)
(25, 6)
(27, 6)
(29, 6)
(31, 8)
(33, 6)
(35, 7)
(37, 7)
(39, 9)
(41, 7)
(43, 8)
(45, 9)
(47, 12)
(49, 10)
(51, 13)
(53, 12)
(55, 19)
(57, 39)
(59, 62)
(61, 113)
(63, 113)
(65, 113)
(67, 113)
-
(2, 4)
(4, 6)
(6, 5)
(8, 5)
(10, 5)
(12, 5)
(14, 5)
(16, 5)
(18, 4)
(20, 5)
(22, 4)
(24, 4)
(26, 5)
(28, 5)
(30, 6)
(32, 7)
(34, 5)
(36, 5)
(38, 5)
(40, 6)
(42, 7)
(44, 8)
(46, 6)
(48, 8)
+
(3, 5)
(5, 4)
(7, 4)
(9, 6)
(11, 5)
(13, 4)
(15, 6)
(17, 5)
(19, 4)
(21, 4)
(23, 4)
(25, 4)
(27, 5)
(29, 5)
(31, 5)
(33, 6)
(35, 7)
(37, 6)
(39, 6)
(41, 7)
(43, 6)
(45, 7)
(47, 8)
(49, 11)
+
(2, 4)
(4, 4)
(6, 4)
(8, 5)
(10, 5)
(12, 4)
(14, 5)
(16, 5)
(18, 4)
(20, 4)
(22, 5)
(24, 5)
(26, 6)
(28, 6)
(30, 7)
(32, 8)
(34, 7)
(36, 7)
(38, 9)
(40, 10)
(42, 10)
(44, 9)
(46, 8)
(48, 11)
(50, 12)
(52, 12)
(54, 14)
(56, 13)
(58, 12)
(60, 13)
(62, 26)
(64, 69)
(66, 33)
(68, 113)
(70, 113)
+
(3, 5)
(5, 4)
(7, 5)
(9, 5)
(11, 4)
(13, 4)
(15, 5)
(17, 5)
(19, 5)
(21, 6)
(23, 5)
(25, 5)
(27, 5)
(29, 6)
(31, 5)
(33, 6)
(35, 7)
(37, 7)
(39, 6)
(41, 6)
(43, 6)
(45, 8)
(47, 8)
(49, 10)
(51, 12)
(53, 12)
(55, 18)
(57, 51)
(59, 47)
(61, 113)
+
(2, 5)
(4, 5)
(6, 4)
(8, 5)
(10, 5)
(12, 4)
(14, 5)
(16, 5)
(18, 4)
(20, 5)
(22, 4)
(24, 4)
(26, 5)
(28, 5)
(30, 5)
(32, 5)
(34, 6)
(36, 6)
(38, 8)
(40, 9)
(42, 8)
(44, 8)
(46, 10)
(48, 9)
(50, 17)
(52, 109)
(54, 113)
(56, 113)
(58, 113)
(60, 113)
(62, 113)
(64, 113)
(66, 113)
-
(3, 6)
(5, 5)
(7, 4)
(9, 5)
(11, 4)
(13, 5)
(15, 4)
(17, 4)
(19, 5)
(21, 5)
(23, 5)
(25, 5)
(27, 5)
(29, 6)
(31, 6)
(33, 7)
(35, 8)
(37, 8)
(39, 7)
(41, 9)
(43, 7)
(45, 7)
(47, 8)
(49, 7)
(51, 10)
(53, 9)
(55, 13)
(57, 16)
(59, 21)
(61, 54)
(63, 61)
(65, 74)
(67, 113)
(69, 113)
(71, 113)
(73, 113)
(75, 113)
+
(2, 5)
(4, 5)
(6, 5)
(8, 4)
(10, 6)
(12, 5)
(14, 5)
(16, 5)
(18, 4)
(20, 4)
(22, 5)
(24, 4)
(26, 5)
(28, 6)
(30, 5)
(32, 6)
(34, 5)
(36, 8)
(38, 8)
(40, 8)
(42, 7)
(44, 7)
(46, 8)
(48, 7)
(50, 6)
(52, 8)
(54, 8)
(56, 8)
(58, 11)
(60, 9)
(62, 85)
(64, 46)
(66, 113)
(68, 113)
+
(3, 4)
(5, 4)
(7, 5)
(9, 4)
(11, 4)
(13, 4)
(15, 4)
(17, 4)
(19, 6)
(21, 6)
(23, 6)
(25, 6)
(27, 6)
(29, 6)
(31, 6)
(33, 7)
(35, 6)
(37, 8)
(39, 7)
(41, 13)
(43, 13)
-
(3, 5)
(5, 4)
(7, 6)
(9, 4)
(11, 4)
(13, 4)
(15, 4)
(17, 5)
(19, 5)
(21, 6)
(23, 5)
(25, 5)
(27, 6)
(29, 6)
(31, 6)
(33, 6)
(35, 6)
(37, 7)
(39, 8)
(41, 9)
(43, 10)
(45, 11)
(47, 13)
(49, 58)
(51, 70)
(53, 76)
(55, 113)
(57, 113)
(59, 113)
(61, 113)
-
(2, 6)
(4, 4)
(6, 5)
(8, 4)
(10, 4)
(12, 4)
(14, 4)
(16, 5)
(18, 5)
(20, 5)
(22, 6)
(24, 6)
(26, 6)
(28, 7)
(30, 7)
(32, 6)
(34, 6)
(36, 6)
(38, 6)
(40, 6)
(42, 7)
(44, 7)
(46, 7)
(48, 8)
(50, 11)
(52, 59)
-
(3, 5)
(5, 4)
(7, 5)
(9, 5)
(11, 5)
(13, 5)
(15, 5)
(17, 4)
(19, 5)
(21, 5)
(23, 5)
(25, 5)
(27, 4)
(29, 5)
(31, 6)
(33, 9)
(35, 10)
(37, 9)
(39, 11)
(41, 10)
(43, 8)
(45, 7)
(47, 7)
(49, 7)
(51, 9)
(53, 8)
(55, 10)
(57, 10)
(59, 39)
(61, 95)
(63, 113)
(65, 113)
(67, 113)
(69, 113)
-
(2, 4)
(4, 5)
(6, 5)
(8, 5)
(10, 4)
(12, 4)
(14, 5)
(16, 5)
(18, 4)
(20, 4)
(22, 5)
(24, 5)
(26, 5)
(28, 5)
(30, 6)
(32, 8)
(34, 7)
(36, 6)
(38, 8)
(40, 9)
(42, 8)
(44, 10)
(46, 10)
(48, 12)
(50, 11)
(52, 12)
(54, 22)
(56, 25)
(58, 22)
(60, 60)
(62, 113)
(64, 113)
-
(3, 5)
(5, 4)
(7, 4)
(9, 4)
(11, 6)
(13, 5)
(15, 5)
(17, 4)
(19, 4)
(21, 5)
(23, 5)
(25, 4)
(27, 5)
